Comparison,Property,SA_Mean,SA_SD,SA_N,EC_Mean,EC_SD,EC_N,Cohens_d,Effect_Size,Direction,Fold_Change,U_Statistic,p_value,CA_Mean,CA_SD,CA_N,p_corrected,Significant,Practically_Significant
SA vs EC,MW,279.41195921450156,80.93154738256202,1986.0,268.73239380530975,78.35290631034023,452.0,0.13273074711470953,negligible,SA higher,1.0397405212597068,480037.0,0.020895357670286507,,,,5.518835372447833e-30,True,False
SA vs EC,LogP,3.2825134038267896,1.4783000463908176,1986.0,2.6279595132743374,1.505447183918399,452.0,0.4412633021522573,small,SA higher,1.2490730497354212,557376.0,9.3186411461594e-16,,,,5.518835372447833e-30,True,True
SA vs EC,TPSA,32.08047834843907,18.344349121952927,1986.0,37.69006637168142,17.818632385350927,452.0,-0.30740566873779934,small,SA lower,0.851165345056088,368570.0,2.7988736620044526e-09,,,,5.518835372447833e-30,True,True
SA vs EC,HBD,0.9118831822759316,0.9225906894725334,1986.0,1.1924778761061947,0.9560803489538887,452.0,-0.3020778568303371,small,SA lower,0.7646961009067181,372073.5,1.6775259793862826e-09,,,,5.518835372447833e-30,True,True
SA vs EC,HBA,3.213997985901309,1.7823725246481517,1986.0,3.7942477876106193,1.784302732166621,452.0,-0.32548383022756805,small,SA lower,0.8470711892871089,368174.0,1.3981922260934569e-09,,,,5.518835372447833e-30,True,True
SA vs EC,RotBonds,4.167673716012085,3.125676926386519,1986.0,4.152654867256637,2.757158316567048,452.0,0.004906840507487864,negligible,SA higher,1.0036166860082378,435723.5,0.32875752580956985,,,,5.518835372447833e-30,True,False
SA vs EC,Rings,3.4224572004028198,1.100162206694453,1986.0,3.1969026548672566,0.9712903887755441,452.0,0.20933792108347274,small,SA higher,1.0705540862159686,497531.5,0.0001602905174928106,,,,5.518835372447833e-30,True,True
SA vs EC,Fsp3,0.36371237688627783,0.24935249470149964,1986.0,0.3521093116830233,0.22581894439160835,452.0,0.047327390510918325,negligible,SA higher,1.0329530200374248,457060.5,0.5424787978945247,,,,5.518835372447833e-30,True,False
SA vs CA,MW,279.41195921450156,80.93154738256202,1986.0,,,,0.14748780907009917,negligible,SA higher,1.0443854578480458,1193126.5,2.108005989107201e-05,267.5371981818182,79.75290022075815,1100.0,5.518835372447833e-30,True,False
SA vs CA,LogP,3.2825134038267896,1.4783000463908176,1986.0,,,,0.3219689759667462,small,SA higher,1.1678353200956886,1266978.0,1.7268488219639821e-13,2.8107673636363653,1.4412114076011822,1100.0,5.518835372447833e-30,True,True
SA vs CA,TPSA,32.08047834843907,18.344349121952927,1986.0,,,,-0.24766691226782292,small,SA lower,0.8643792812512978,986074.5,7.416123194176007e-06,37.113890909090905,23.478716626715098,1100.0,5.518835372447833e-30,True,True
SA vs CA,HBD,0.9118831822759316,0.9225906894725334,1986.0,,,,0.3207530500107773,small,SA higher,1.4579527623597743,1295144.5,3.163636459784745e-20,0.6254545454545455,0.8368705912308284,1100.0,5.518835372447833e-30,True,True
SA vs CA,HBA,3.213997985901309,1.7823725246481517,1986.0,,,,-0.2439829071092802,small,SA lower,0.8712168024868014,981389.0,2.109489240757259e-06,3.689090909090909,2.2141223232553484,1100.0,5.518835372447833e-30,True,True
SA vs CA,RotBonds,4.167673716012085,3.125676926386519,1986.0,,,,-0.03285527575673343,negligible,SA lower,0.9770761056294316,1024772.0,0.00415399810565711,4.265454545454546,2.6849235789619006,1100.0,5.518835372447833e-30,True,False
SA vs CA,Rings,3.4224572004028198,1.100162206694453,1986.0,,,,0.18152130331596475,negligible,SA higher,1.0604796958994653,1195414.5,5.34095972312666e-06,3.227272727272727,1.028785788455297,1100.0,5.518835372447833e-30,True,False
SA vs CA,Fsp3,0.36371237688627783,0.24935249470149964,1986.0,,,,-0.16198799384353924,negligible,SA lower,0.8935697722361229,1040302.0,0.028236804330936324,0.40703299080507394,0.2973112578540861,1100.0,5.518835372447833e-30,True,False
EC vs CA,MW,,,,268.73239380530975,78.35290631034023,452.0,0.015062688282607714,negligible,EC higher,1.004467399791932,253644.0,0.5295189105716359,267.5371981818182,79.75290022075815,1100.0,5.518835372447833e-30,True,False
EC vs CA,LogP,,,,2.6279595132743374,1.505447183918399,452.0,-0.1251942668015891,negligible,EC lower,0.9349615863884501,226642.5,0.00619576302576126,2.8107673636363653,1.4412114076011822,1100.0,5.518835372447833e-30,True,False
EC vs CA,TPSA,,,,37.69006637168142,17.818632385350927,452.0,0.026210449374736166,negligible,EC higher,1.0155245232573926,265883.0,0.031181424538929896,37.113890909090905,23.478716626715098,1100.0,5.518835372447833e-30,True,False
EC vs CA,HBD,,,,1.1924778761061947,0.9560803489538887,452.0,0.6493349073893756,medium,EC higher,1.9065779995883927,335082.0,2.2995147385199304e-31,0.6254545454545455,0.8368705912308284,1100.0,5.518835372447833e-30,True,True
EC vs CA,HBA,,,,3.7942477876106193,1.784302732166621,452.0,0.050118590749211635,negligible,EC higher,1.0285048216785808,266348.0,0.02502917494387363,3.689090909090909,2.2141223232553484,1100.0,0.03754376241581044,True,False
EC vs CA,RotBonds,,,,4.152654867256637,2.757158316567048,452.0,-0.04168286158729312,negligible,EC lower,0.9735550626560744,245754.0,0.7210496713027945,4.265454545454546,2.6849235789619006,1100.0,0.3597839122735906,False,False
EC vs CA,Rings,,,,3.1969026548672566,0.9712903887755441,452.0,-0.029998292829273576,negligible,EC lower,0.9905895550292908,245629.0,0.6972032519229527,3.227272727272727,1.028785788455297,1100.0,0.3597839122735906,False,False
EC vs CA,Fsp3,,,,0.3521093116830233,0.22581894439160835,452.0,-0.19727659537477651,negligible,EC lower,0.865063323212655,240022.5,0.28482893054992586,0.40703299080507394,0.2973112578540861,1100.0,0.3597839122735906,False,False
