Comparison,Property,Triple_Mean,Triple_SD,Triple_N,Single_Mean,Single_SD,Single_N,Cohens_d,Effect_Size,Fold_Change,U_Statistic,p_value,p_corrected,Significant,Practically_Significant
TRIPLE vs SA_CA,LogP,2.569364181234393,1.7561563013320753,2803,4.355579584775089,1.8447419456306833,289,-1.0122490239718618,large,0.5899017871733064,190306.5,5.970934449514763e-50,2.0471775255479187e-49,True,True
TRIPLE vs SA_CA,RotBonds,2.723510524438102,2.4573972187675315,2803,5.259515570934256,6.082059322124948,289,-0.8489408732910652,large,0.5178253562911918,298241.5,7.953832589021913e-14,3.541740802288755e-22,True,True
TRIPLE vs SA_CA,MW,215.49990688547987,98.29492463364534,2803,295.8384809688582,111.01538345953317,289,-0.8070235400444715,large,0.7284377143221091,238498.5,9.860392026571928e-31,2.0471775255479187e-49,True,True
TRIPLE vs SA_CA,Rings,2.450945415626115,1.467225210949627,2803,3.3217993079584773,1.442259830237321,289,-0.5944734729063142,medium,0.7378366928291117,267151.0,1.8446566678587265e-22,3.541740802288755e-22,True,True
TRIPLE vs SA_EC,MW,215.49990688547987,98.29492463364534,2803,268.9388207079647,87.98134624840232,5650,-0.5838418832931597,medium,0.8012971363456931,5333884.0,3.162593372263214e-132,1.5180448186863427e-130,True,True
TRIPLE vs EC_only,HBA,2.6821262932572245,1.7859966164845567,2803,3.713221601489758,1.8016556060513027,537,-0.5765074666975446,medium,0.7223178633295535,512327.0,1.1215049933486525e-32,1.5180448186863427e-130,True,True
TRIPLE vs SA_only,MW,215.49990688547987,98.29492463364534,2803,268.20472813036025,84.98718543781551,2332,-0.5698481045544385,medium,0.803490335117197,2197235.5,3.5796935211832196e-91,1.5180448186863427e-130,True,True
TRIPLE vs CA_only,RotBonds,2.723510524438102,2.4573972187675315,2803,4.167747163695299,2.7098505145345815,1234,-0.5692229151172032,medium,0.6534730676952397,1151301.5,1.5802947484366508e-65,1.5180448186863427e-130,True,True
TRIPLE vs SA_EC,HBA,2.6821262932572245,1.7859966164845567,2803,3.7295575221238937,1.8853096873102593,5650,-0.5652710818006748,medium,0.7191540222524354,5399147.5,6.955547958260872e-129,1.6693315099826091e-127,True,True
TRIPLE vs EC_CA,HBA,2.6821262932572245,1.7859966164845567,2803,3.6486486486486487,1.427927782930029,148,-0.5460997328678963,medium,0.7351012803742023,134646.5,2.63408710345588e-13,3.9511306551838203e-13,True,True
TRIPLE vs EC_only,HBD,0.7905815198002141,0.8897206917871828,2803,1.2849162011173185,1.028881276628884,537,-0.5411457960359448,medium,0.6152786610619057,543167.5,7.918053357018818e-28,1.5180448186863427e-130,True,True
TRIPLE vs SA_EC,RotBonds,2.723510524438102,2.4573972187675315,2803,4.0615929203539824,2.7347661597682076,5650,-0.5056950964222732,medium,0.6705523123180789,5538566.5,4.560465761062915e-114,7.296745217700664e-113,True,True
TRIPLE vs SA_EC,Rings,2.450945415626115,1.467225210949627,2803,3.153451327433628,1.3945470581710535,5650,-0.4950513515570129,small,0.7772263343036173,5663515.0,7.45873569786962e-106,8.950482837443544e-105,True,True
TRIPLE vs EC_only,RotBonds,2.723510524438102,2.4573972187675315,2803,3.9385474860335195,2.6692598011933923,537,-0.48745159610909494,small,0.691501253722582,545212.0,1.383579424432765e-24,1.5180448186863427e-130,True,True
TRIPLE vs CA_only,HBA,2.6821262932572245,1.7859966164845567,2803,3.615072933549433,2.188252874669742,1234,-0.4864445299052598,small,0.7419286809861948,1303981.0,1.2057258578302116e-36,1.5180448186863427e-130,True,True
TRIPLE vs CA_only,MW,215.49990688547987,98.29492463364534,2803,260.5277925445705,80.89959332403495,1234,-0.4824899651483976,small,0.8271666710898518,1222121.0,5.115245985829941e-50,1.5180448186863427e-130,True,True
TRIPLE vs SA_only,Rings,2.450945415626115,1.467225210949627,2803,3.1239279588336193,1.3052356076110705,2332,-0.482081178760586,small,0.7845716828057789,2342612.5,7.567703760260856e-72,1.5180448186863427e-130,True,True
TRIPLE vs EC_only,TPSA,31.627113806635748,21.58778118319538,2803,42.17070763500931,23.467821336977334,537,-0.4814305782219392,small,0.7499782569543493,557086.0,1.2476264385586496e-21,1.5180448186863427e-130,True,True
TRIPLE vs SA_only,RotBonds,2.723510524438102,2.4573972187675315,2803,3.9463979416809605,3.027281908587041,2332,-0.4477844532601933,small,0.6901256702151096,2477724.0,2.1903914266224663e-51,1.5180448186863427e-130,True,True
TRIPLE vs EC_CA,RotBonds,2.723510524438102,2.4573972187675315,2803,3.810810810810811,2.7487816753350645,148,-0.4397156101090596,small,0.7146800666965232,156309.5,3.100697018767792e-07,4.022525862185244e-07,True,True
TRIPLE vs EC_only,MW,215.49990688547987,98.29492463364534,2803,256.9092748802011,81.9382856300968,537,-0.431992232375975,small,0.8388171543669228,549379.5,3.166552835247629e-23,1.5180448186863427e-130,True,True
TRIPLE vs SA_EC,HBD,0.7905815198002141,0.8897206917871828,2803,1.2129203539823008,1.028953894430181,5650,-0.42878198149177565,small,0.6518000272685261,6027358.5,4.3641165737504215e-79,1.6693315099826091e-127,True,True
TRIPLE vs EC_CA,TPSA,31.627113806635748,21.58778118319538,2803,40.77148648648649,16.180814765728254,148,-0.428293627659093,small,0.7757164757070705,144549.5,4.772218888399927e-10,3.9511306551838203e-13,True,True
TRIPLE vs CA_only,Fsp3,0.2790506076059485,0.2903310145560935,2803,0.4048802061171439,0.3030425751510651,1234,-0.42759386471413957,small,0.689217707830377,1234657.5,7.74475707749785e-48,1.5180448186863427e-130,True,True
TRIPLE vs EC_CA,MW,215.49990688547987,98.29492463364534,2803,256.76439189189193,74.2407999232682,148,-0.42437061284816907,small,0.8392904689689759,148675.5,6.054310009048636e-09,3.9511306551838203e-13,True,True
TRIPLE vs CA_only,Rings,2.450945415626115,1.467225210949627,2803,3.0307941653160455,1.1731069448561546,1234,-0.41896667661709935,small,0.8086809205568517,1283261.0,5.625331028226652e-41,1.5180448186863427e-130,True,True
TRIPLE vs SA_EC,TPSA,31.627113806635748,21.58778118319538,2803,40.072661946902656,23.081182390783518,5650,-0.3737468911832186,small,0.7892441447623948,6198658.5,1.2900751521921018e-59,1.6693315099826091e-127,True,True
TRIPLE vs SA_only,Fsp3,0.2790506076059485,0.2903310145560935,2803,0.3729874935940367,0.2616832424888978,2332,-0.338282073169435,small,0.7481500382682267,2422405.0,9.629581435178789e-58,1.5180448186863427e-130,True,True
TRIPLE vs SA_EC,Fsp3,0.2790506076059485,0.2903310145560935,2803,0.3669117573852155,0.2525646365644204,5650,-0.33070047124321583,small,0.7605387453228358,5770818.5,4.6989931070499e-92,4.5110333827679036e-91,True,True
TRIPLE vs SA_CA,HBA,2.6821262932572245,1.7859966164845567,2803,2.1453287197231834,1.5984977689263726,289,0.30338502023544617,small,1.2502169334698998,472023.0,2.507809786606695e-06,3.541740802288755e-22,True,True
